year,city,country,avg_temp,year_global,avg_temp_global
1750,Barcelona,Spain,16.52,1750,8.72
1751,Barcelona,Spain,16.78,1751,7.98
1752,Barcelona,Spain,13.09,1752,5.78
1753,Barcelona,Spain,16.17,1753,8.39
1754,Barcelona,Spain,16.09,1754,8.47
1755,Barcelona,Spain,15.8,1755,8.36
1756,Barcelona,Spain,16.11,1756,8.85
1757,Barcelona,Spain,15.88,1757,9.02
1758,Barcelona,Spain,15.04,1758,6.74
1759,Barcelona,Spain,16.19,1759,7.99
1760,Barcelona,Spain,15.91,1760,7.19
1761,Barcelona,Spain,16.25,1761,8.77
1762,Barcelona,Spain,16.13,1762,8.61
1763,Barcelona,Spain,15.65,1763,7.5
1764,Barcelona,Spain,16.21,1764,8.4
1765,Barcelona,Spain,16.19,1765,8.25
1766,Barcelona,Spain,16.06,1766,8.41
1767,Barcelona,Spain,15.97,1767,8.22
1768,Barcelona,Spain,15.49,1768,6.78
1769,Barcelona,Spain,15.94,1769,7.69
1770,Barcelona,Spain,15.8,1770,7.69
1771,Barcelona,Spain,16.3,1771,7.85
1772,Barcelona,Spain,17.21,1772,8.19
1773,Barcelona,Spain,15.84,1773,8.22
1774,Barcelona,Spain,16.33,1774,8.77
1775,Barcelona,Spain,16.55,1775,9.18
1776,Barcelona,Spain,16.1,1776,8.3
1777,Barcelona,Spain,15.87,1777,8.26
1778,Barcelona,Spain,16.38,1778,8.54
1779,Barcelona,Spain,16.55,1779,8.98
1780,Barcelona,Spain,16.78,1780,9.43
1781,Barcelona,Spain,16.65,1781,8.1
1782,Barcelona,Spain,15.55,1782,7.9
1783,Barcelona,Spain,16.26,1783,7.68
1784,Barcelona,Spain,15.83,1784,7.86
1785,Barcelona,Spain,15.68,1785,7.36
1786,Barcelona,Spain,16.03,1786,8.26
1787,Barcelona,Spain,16.25,1787,8.03
1788,Barcelona,Spain,16.67,1788,8.45
1789,Barcelona,Spain,15.46,1789,8.33
1790,Barcelona,Spain,16.36,1790,7.98
1791,Barcelona,Spain,16.41,1791,8.23
1792,Barcelona,Spain,16.22,1792,8.09
